Title,Date,Rating,Review
Tough leathery crust,2023-02-22,2,"The crust was so tough I almost couldn't bite through it - like trying to eat leather. The edges were particularly problematic, had to tear pieces off with significant effort. Completely lacks the pleasant chewiness good pizza should have."
Best white pizza ever,2025-05-22,5,"Their 'White Album' pizza with ricotta, mozzarella, garlic, and spinach is phenomenal. The cheeses are creamy but not heavy, and the fresh garlic adds the perfect punch. Don't skip the spicy honey drizzle!"
Lackluster veggie options,2025-06-06,3,"Their vegetable toppings lacked freshness and flavor - the mushrooms were clearly canned, the peppers were soft and faded, and the onions were sparse. Disappointing for a place that advertises farm-fresh ingredients."
Undercooked in the middle,2023-09-15,2,"The edges of the pizza were fine, but the middle was doughy and undercooked. The toppings were sliding off the soggy center. When I mentioned it, they just said that's how their pizza is supposed to be."
Burnt crust ruins it,2025-04-30,2,"They claim 'char' is part of the Neapolitan experience, but there's a difference between char and burnt. The entire bottom of my pizza was black and bitter. Scraping it off meant losing half the crust."
Masterful use of olive oil,2023-03-14,5,"The drizzle of high-quality olive oil they add just before serving makes all the difference - adds richness, enhances the flavors of the other ingredients, and adds a wonderful aromatic element. Simple but transformative."
Excellent Chicago deep dish,2025-04-12,5,"Hard to find authentic Chicago-style pizza in this area, but they nail it. The buttery, flaky crust, the layering of cheese under the sauce, the chunky tomato topping - all perfect. Worth the 45-minute cook time."
Ideal char-to-chew ratio,2025-06-27,5,The small charred bubbles on the crust add amazing flavor without dominating. They've mastered that balance between the slight bitterness of char and the natural sweetness of the dough. Technical perfection!
Excellent attention to cooking time,2025-01-29,5,They nail the cooking time perfectly - pulling the pizza from the oven at exactly the right moment when the cheese is fully melted and bubbling but not yet browned. Shows expertise and attention to detail.
Stale-tasting crust,2023-08-07,2,"The crust had a stale, almost cardboard-like quality that suggests either old dough or old flour. Fresh ingredients on top couldn't compensate for the foundation being off."
Cheese solidified too quickly,2023-02-05,2,"The cheese hardened into a solid mass before we were even halfway through the pizza. By the end, it was like eating a cheese cracker on bread. Suggests poor quality cheese or improper handling."
Excellent for takeout,2024-05-03,4,"Their pizza travels remarkably well. Even after a 20-minute drive home, the crust was still crispy and everything was at the perfect temperature. They have their packaging technique down to a science."
Perfect sauce-to-cheese ratio,2023-06-28,5,They've perfected the ratio of sauce to cheese - enough sauce to be flavorful and moist but not so much that it makes the crust soggy. The cheese covers evenly but isn't overwhelming. Technical perfection!
Rude staff ruined the meal,2025-02-09,2,"The pizza itself was decent, but the counter staff was incredibly rude - sighing when I asked questions about ingredients, rushing my order, and actually rolling their eyes when I requested extra napkins."
Innovative toppings,2023-05-10,5,"Their 'Experimental' menu section is amazing. Just tried one with maple-glazed brussels sprouts, pancetta, and smoked gouda - sounds weird but it was incredible. They're not afraid to take risks."
Sauce like ketchup,2024-07-18,2,"The sauce was suspiciously sweet and one-dimensional, reminiscent of ketchup rather than a proper pizza sauce. No evidence of herbs, garlic, or any complexity. Ruined what otherwise could have been a decent pizza."
Perfect for late-night cravings,2024-12-08,5,"Open until 3am on weekends, this place has saved many late nights. The slices are huge, they reheat them perfectly so they're crispy, and their special late-night menu items are creative and delicious."
Authentic Italian experience,2023-05-16,5,"This place reminds me of the pizzerias in Naples. Their wood-fired Margherita pizza has that perfect char, fresh basil, and buffalo mozzarella that melts in your mouth. The owner even came out to chat with us about Italy."
No-cheese option was all sauce,2023-12-18,2,"Ordered a cheese-free pizza for my dairy-allergic friend, but they made no adjustments - just removed the cheese and left a soggy sauce-covered bread. Good pizza without cheese requires rebalancing other elements."
Exceptional spinach ricotta pie,2023-12-19,5,Their white pizza with spinach and ricotta is exceptional - the creamy richness of the cheese balanced by the slight bitterness of the greens. The garlic-infused olive oil base ties everything together perfectly.
Best Hawaiian in the city,2024-02-02,5,"I know Hawaiian pizza is controversial, but if you're a fan, you must try theirs. They use fresh pineapple (not canned) and house-cured ham that's sliced thick. The sweet and salty balance is perfect."
Superior ingredients make the difference,2024-06-26,5,"They import their flour from Italy, use San Marzano tomatoes, and make their mozzarella in-house daily. The commitment to quality ingredients is evident in every bite - nothing is an afterthought."
Best pizza in town,2024-03-22,5,"The crust was perfectly crispy on the outside and chewy inside. Their signature pepperoni pizza had the perfect ratio of sauce to cheese, and the pepperoni curled up into little cups of deliciousness. Will definitely be back!"
Perfect for large parties,2023-03-07,5,"Their party package is fantastic - multiple 18-inch pizzas with varied toppings, plenty of sides, and they were accommodating with our group of 20. Everything arrived hot and on time, and they included all the necessary paper goods."
Perfectly crispy crust,2024-03-12,5,"However they achieve it, their crust has the perfect crispness all the way through - no soggy middle! Even the slices with lots of toppings maintain their structural integrity. Engineering marvel of pizza."
Absurdly small slices,2024-02-23,2,"Their 8-slice large pizza had slices so small they were almost comical - two bites and they're gone. For the price charged, the portion size is simply unacceptable. Felt like a ripoff."
Tiny portion sizes,2024-06-02,2,"Their 'personal' pizza is the size of a CD. For $15, I expected something that would actually satisfy my hunger. Had to order a second one, turning a quick lunch into an expensive disappointment."
Brilliant seasonal rotation,2023-09-18,5,"Love that they have a rotating seasonal pizza that showcases what's fresh. The current spring offering with asparagus, green garlic, and fresh peas is bright and delicious - a perfect reflection of the season."
